ENTIDAD_RES,Casos confirmados,CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA,CVE_GEO,ENTIDAD,POBLACION
1,19940,1,AGUASCALIENTES,AS,1,Aguascalientes,1434635
2,40992,2,BAJA CALIFORNIA,BC,2,Baja California,3634868
3,22347,3,BAJA CALIFORNIA SUR,BS,3,Baja California Sur,804708
4,7800,4,CAMPECHE,CC,4,Campeche,1000617
5,57995,5,COAHUILA DE ZARAGOZA,CL,5,Coahuila,3218720
6,9157,6,COLIMA,CM,6,Colima,785153
7,9165,7,CHIAPAS,CS,7,Chiapas,5730367
8,39775,8,CHIHUAHUA,CH,8,Chihuahua,3801487
9,450590,9,CIUDAD DE MÉXICO,DF,9,Ciudad de México,9018645
10,28081,10,DURANGO,DG,10,Durango,1868996
11,102976,11,GUANAJUATO,GT,11,Guanajuato,6228175
12,29895,12,GUERRERO,GR,12,Guerrero,3657048
13,30498,13,HIDALGO,HG,13,Hidalgo,3086414
14,66323,14,JALISCO,JC,14,Jalisco,8409693
15,182039,15,MÉXICO,MC,15,México,17427790
16,38814,16,MICHOACÁN DE OCAMPO,MN,16,Michoacán,4825401
17,16686,17,MORELOS,MS,17,Morelos,2044058
18,9459,18,NAYARIT,NT,18,Nayarit,1288571
19,101527,19,NUEVO LEÓN,NL,19,Nuevo León,5610153
20,33451,20,OAXACA,OC,20,Oaxaca,4143593
21,58724,21,PUEBLA,PL,21,Puebla,6604451
22,43542,22,QUERÉTARO,QT,22,Querétaro,2279637
23,18209,23,QUINTANA ROO,QR,23,Quintana Roo,1723259
24,48054,24,SAN LUIS POTOSÍ,SP,24,San Luis Potosí,2866142
25,30321,25,SINALOA,SL,25,Sinaloa,3156674
26,60706,26,SONORA,SR,26,Sonora,3074745
27,51224,27,TABASCO,TC,27,Tabasco,2572287
28,46258,28,TAMAULIPAS,TS,28,Tamaulipas,3650602
29,14088,29,TLAXCALA,TL,29,Tlaxcala,1380011
30,49385,30,VERACRUZ DE IGNACIO DE LA LLAVE,VZ,30,Veracruz,8539862
31,29406,31,YUCATÁN,YN,31,Yucatán,2259098
32,24313,32,ZACATECAS,ZS,32,Zacatecas,1666426
