ENTIDAD_RES,Casos confirmados,CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,ABREVIATURA,CVE_GEO,ENTIDAD,POBLACION
1,19445,1,AGUASCALIENTES,AS,1,Aguascalientes,1434635
2,40325,2,BAJA CALIFORNIA,BC,2,Baja California,3634868
3,21795,3,BAJA CALIFORNIA SUR,BS,3,Baja California Sur,804708
4,7718,4,CAMPECHE,CC,4,Campeche,1000617
5,57183,5,COAHUILA DE ZARAGOZA,CL,5,Coahuila,3218720
6,8953,6,COLIMA,CM,6,Colima,785153
7,8985,7,CHIAPAS,CS,7,Chiapas,5730367
8,39271,8,CHIHUAHUA,CH,8,Chihuahua,3801487
9,439547,9,CIUDAD DE MÉXICO,DF,9,Ciudad de México,9018645
10,27780,10,DURANGO,DG,10,Durango,1868996
11,100177,11,GUANAJUATO,GT,11,Guanajuato,6228175
12,29406,12,GUERRERO,GR,12,Guerrero,3657048
13,29756,13,HIDALGO,HG,13,Hidalgo,3086414
14,64072,14,JALISCO,JC,14,Jalisco,8409693
15,178259,15,MÉXICO,MC,15,México,17427790
16,38043,16,MICHOACÁN DE OCAMPO,MN,16,Michoacán,4825401
17,15625,17,MORELOS,MS,17,Morelos,2044058
18,9234,18,NAYARIT,NT,18,Nayarit,1288571
19,99023,19,NUEVO LEÓN,NL,19,Nuevo León,5610153
20,32924,20,OAXACA,OC,20,Oaxaca,4143593
21,57063,21,PUEBLA,PL,21,Puebla,6604451
22,41641,22,QUERÉTARO,QT,22,Querétaro,2279637
23,17807,23,QUINTANA ROO,QR,23,Quintana Roo,1723259
24,47269,24,SAN LUIS POTOSÍ,SP,24,San Luis Potosí,2866142
25,29819,25,SINALOA,SL,25,Sinaloa,3156674
26,59929,26,SONORA,SR,26,Sonora,3074745
27,50309,27,TABASCO,TC,27,Tabasco,2572287
28,45763,28,TAMAULIPAS,TS,28,Tamaulipas,3650602
29,13805,29,TLAXCALA,TL,29,Tlaxcala,1380011
30,48360,30,VERACRUZ DE IGNACIO DE LA LLAVE,VZ,30,Veracruz,8539862
31,29078,31,YUCATÁN,YN,31,Yucatán,2259098
32,23926,32,ZACATECAS,ZS,32,Zacatecas,1666426
